id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
08-Aug-2021_JME508N,arrival,63.05,16,15,08,2710.6235932579475,572.5812395756112,0,2101.1901139045226,0,974.8760264943767,1735.7475667635708,23R/05L23R/05L,-1,0,7,0,0,10,9,0,0,4,2
08-Aug-2021_RYRY3GY,departure,8.95,16,16,08,1171.211956257261,318.2502442388869,0,960.1329413628449,71.8532588843,709.7835036448448,389.5751937281161,23R/05L,1,0,3,1,2,0,0,1,2,0,0
08-Aug-2021_LOG31AW,arrival,1.25,17,17,08,672.0364641758906,147.46175908966308,0,101.25371224509999,0,0,672.0364641758906,23R/05L,1,0,1,0,0,0,1,0,0,1,1
15-Aug-2021_LOG31AW,arrival,3.4833333333333334,17,17,15,1584.4927892838928,233.85381478543806,0,1209.6631802477373,67.2740771544,886.4465447797426,630.7721673497502,23R/05L,1,0,4,0,0,0,0,0,0,1,1
29-Aug-2021_LOG31AW,arrival,1.5333333333333334,17,17,29,641.7541078224176,224.1624552763783,0,447.7472515644912,67.2740771544,0,574.4800306680177,23R/05L,1,0,5,0,0,1,0,0,0,1,4
31-Aug-2021_LOG31AW,arrival,0.7833333333333333,17,17,31,358.8439745303265,97.130954777956,0,152.2282138829,0,0,358.8439745303265,23R/05L,1,0,4,0,0,0,0,0,0,1,3
08-Aug-2021_SWR31V,arrival,4.916666666666667,17,17,08,2234.886722229393,575.7003202159935,0,1645.1860450263616,104.571349969,0,2130.315372260393,23R/05L,1,0,2,0,0,1,0,0,0,1,0
15-Aug-2021_SWR31V,arrival,10.633333333333333,17,17,15,2363.142078959955,775.741577409087,0,1732.2059073941014,101.049188081,0,2262.092890878955,23R/05L,1,0,5,0,0,1,2,0,0,1,2
22-Aug-2021_SWR31V,arrival,4.5,16,16,22,2069.0907763146156,521.4414712188997,0,1699.7982919307617,103.676652407,0,1965.4141239076157,23R/05L,1,0,3,0,0,0,1,0,0,0,3
29-Aug-2021_SWR31V,arrival,5.333333333333333,16,16,29,1524.9040269407826,441.84567476783826,0,1283.574914102575,104.571349969,608.7054608738868,811.6272160978958,23R/05L,1,0,5,0,0,0,1,0,0,0,4
01-Sep-2021_SWR31V,arrival,5.316666666666666,16,16,01,1578.6215762831825,443.27170137521205,0,1338.187161006975,103.676652407,608.7054608738868,866.2394630022959,23R/05L,1,0,1,0,0,0,1,0,0,0,1
08-Aug-2021_SWR381,departure,44.96666666666667,17,18,08,2503.3314096143936,640.5173116696169,0,1916.6275278886042,104.571349969,974.8760264943767,1423.8840331510169,23R/05L,1,0,6,7,3,0,0,2,0,0,0
15-Aug-2021_SWR381,departure,20.85,17,18,15,2730.140731418653,1023.969402578462,0,2354.344678900768,101.049188081,0,2629.091543337653,23R/05L,1,0,4,2,2,0,0,0,2,0,0
22-Aug-2021_SWR381,departure,12.7,17,17,22,2275.5861383131714,984.6645158220178,0,1683.1099936591693,103.676652407,0,2171.9094859061715,23R/05L,1,0,5,1,1,0,0,1,1,0,0
29-Aug-2021_SWR381,departure,11.933333333333334,17,17,29,2405.916304464741,536.363060726517,0,2248.3306041345413,104.571349969,1014.0460966443912,1287.29885785135,23R/05L,1,0,6,2,1,0,0,2,4,0,0
01-Sep-2021_SWR381,departure,44.983333333333334,16,17,01,1589.282396221374,609.5447100009227,0,1270.9966456008324,103.676652407,0,1485.605743814374,23R/05L,1,0,2,5,7,0,0,0,1,0,0
08-Aug-2021_SAS161E,arrival,4.8,17,17,08,1785.0743784164874,651.615031853899,0,1093.8755505365496,83.4322277087,0,1701.6421507077876,23R/05L,1,0,2,0,0,0,1,0,0,1,0
08-Aug-2021_DIENE,arrival,1.4333333333333333,17,17,08,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,3,0,0,0,0,0,0,2,1
10-Aug-2021_DIENE,departure,7.916666666666667,04,05,10,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,8,3,0,0,0,6,0,0,0
12-Aug-2021_DIENE,arrival,81.7,13,11,12,2124.6867342102646,737.4185719206068,0,1468.137500118493,0,0,2124.6867342102646,23R/05L23R/05L,-1,0,8,0,0,13,19,0,0,0,3
